coefficient,min_v1,max_v2,mod_type,mod_name,scenario,test_ratio,test_name,pred_method,lb,ub,f1,precision,recall,accuracy,mcc,prediction_time,training_time
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"0-final",0,0,inf,0.0,0.0,0.0,0.46875,0.0,6.16069883108139e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesobject-object",0,-1,-1,0.0,0.0,0.0,0.5318471337579618,0.0,5.93009268402294e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesobject-float64",0,-1,-1,0.0,0.0,0.0,0.0,0.0,6.121558112067145e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesobject-int64",0,-1,-1,0.0,0.0,0.0,0.48333333333333334,0.0,6.477038065592448e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesfloat64-object",0,-1,-1,0.0,0.0,0.0,0.4074074074074074,0.0,6.887647840711805e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesfloat64-int64",0,-1,-1,0.0,0.0,0.0,0.5,0.0,1.152356465657552e-06,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesint64-object",0,-1,-1,0.0,0.0,0.0,0.48148148148148145,0.0,6.44613195348669e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesint64-float64",0,-1,-1,0.0,0.0,0.0,0.0,0.0,1.3113021850585938e-06,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesint64-int64",0,-1,-1,0.0,0.0,0.0,0.4,0.0,9.775161743164062e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"L0-0-0.25",0,25.0,41.0,0.0,0.0,0.0,0.46099290780141844,0.0,6.324010537871232e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"N0-0-0.25",0,2.0,2.0,0.0,0.0,0.0,0.46875,0.0,5.885958671569824e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"L0-0.25-0.5",0,41.0,47.0,0.0,0.0,0.0,0.5067567567567568,0.0,6.427636017670503e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"N0-0.25-0.5",0,2.0,2.0,0.0,0.0,0.0,0.46875,0.0,5.85801899433136e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"L0-0.5-1",0,47.0,74.0,0.0,0.0,0.0,0.46153846153846156,0.0,6.052163931039663e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"N0-0.5-1",0,2.0,2.0,0.0,0.0,0.0,0.46875,0.0,5.918554961681366e-07,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"1-final",1,0,inf,0.9262759924385633,0.953307392996109,0.9007352941176471,0.923828125,0.8490785539005162,0.0877847638912499,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesobject-object",1,-1,-1,0.8943661971830986,0.927007299270073,0.8639455782312925,0.9044585987261147,0.8090238547424311,0.10059153350295534,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesobject-float64",1,-1,-1,1.0,1.0,1.0,1.0,0.0,0.41060597832138473,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesobject-int64",1,-1,-1,0.9310344827586207,1.0,0.8709677419354839,0.9333333333333333,0.8748690727349736,0.2834257086118062,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesfloat64-object",1,-1,-1,0.967741935483871,1.0,0.9375,0.9629629629629629,0.9270248108869579,0.5533748732672797,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesfloat64-int64",1,-1,-1,1.0,1.0,1.0,1.0,1.0,2.279152750968933,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesint64-object",1,-1,-1,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9259259259259259,0.8516483516483516,0.3093662350266068,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesint64-float64",1,-1,-1,1.0,1.0,1.0,1.0,0.0,3.3757978677749634,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"Typesint64-int64",1,-1,-1,1.0,1.0,1.0,1.0,1.0,1.3782655000686646,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"L1-0-0.25",1,25.0,41.0,0.9261744966442953,0.9452054794520548,0.9078947368421053,0.9219858156028369,0.8443078101572989,0.15942063906514053,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"N1-0-0.25",1,2.0,2.0,0.9262759924385633,0.953307392996109,0.9007352941176471,0.923828125,0.8490785539005162,0.08435018500313163,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"L1-0.25-0.5",1,41.0,47.0,0.9428571428571428,0.9850746268656716,0.9041095890410958,0.9459459459459459,0.8947068925847246,0.1525978913178315,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"N1-0.25-0.5",1,2.0,2.0,0.9262759924385633,0.953307392996109,0.9007352941176471,0.923828125,0.8490785539005162,0.08394423499703407,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"L1-0.5-1",1,47.0,74.0,0.9192982456140351,0.9492753623188406,0.891156462585034,0.9157509157509157,0.8331753550126744,0.10915832641797188,2323.287708759308
theilsu,0.15,1,"distilbert","distilbert-base-uncased","defsep",0.2,"N1-0.5-1",1,2.0,2.0,0.9262759924385633,0.953307392996109,0.9007352941176471,0.923828125,0.8490785539005162,0.08514295658096671,2323.287708759308
